userId,dataTrimitere,dataFinalizare,stareCerere,categorieCerere,comentariu,path,motivRespingere
0,2026-05-06T14:33:55.426Z,,finalizata,adeverintaStudent,,db/adeverinte/27e33fe833f5.adeverinta,
0,2026-05-06T15:56:50.699Z,,incarcataDeStudent,adeverintaMaster,,db/adeverinte/ec981ac942fa.adeverinta,
0,2026-05-07T06:51:56.623Z,,incarcataDeStudent,adeverintaStudent,,db/adeverinte/1bfde78ca0e3.adeverinta,
0,2026-05-07T07:13:12.246Z,,trimisaLaDecan,adeverintaStudent,,db/adeverinte/446732acf49f.adeverinta,
0,2026-05-09T20:36:28.690Z,,incarcataDeStudent,adeverintaStudent,Motiv student: am nevoie de ea.,db/adeverinte/sim_test.adeverinta,Lipseste stampila de la biblioteca.
2,2026-05-09T23:08:13.679Z,,incarcataDeStudent,adeverintaLicenta,,db/adeverinte/43ecc810c6f9.adeverinta,
2,2026-05-09T23:21:39.719Z,,incarcataDeStudent,adeverintaStudent,pt a servi la angajare,db/adeverinte/fdc212155819.adeverinta,
0,2026-05-09T23:41:46.092Z,,incarcataDeStudent,adeverintaStudent,bratosin-refuse-1778370106011,db/adeverinte/ff2baacb0bb8.adeverinta,
0,2026-05-09T23:41:46.290Z,,finalizata,adeverintaStudent,bratosin-confirm-1778370106288,db/adeverinte/915326708b01.adeverinta,
0,2026-05-09T23:56:45.921Z,,finalizata,adeverintaStudent,gabi-confirm-1778371005866,/tmp/test_adev572973954470211194.adeverinta,
0,2026-05-09T23:56:46.095Z,,trimisaLaDecan,adeverintaStudent,gabi-refuse-1778371006094,/tmp/test_adev14041590497004357991.adeverinta,
0,2026-05-09T23:57:48.058Z,,finalizata,adeverintaStudent,gabi-confirm-1778371068000,/tmp/test_adev9357249214575606501.adeverinta,
0,2026-05-09T23:57:48.275Z,,incarcataDeStudent,adeverintaStudent,gabi-refuse-1778371068274,/tmp/test_adev9715217527152604149.adeverinta,Reason from decan
